ticket_id,customer_id,customer_name,email,issue_category,channel,resolution,response_time_hrs,timestamp
T00055,C1613,Riley Clark,riley.clark@example.com,Returns,Email,Resolved,42.65,09-09-2023 00:00
T00056,C1538,Alex Garcia,alex.garcia@example.com,Product Inquiry,Email,Unresolved,66.99,28-08-2023 00:00
T00057,C1662,Dakota Taylor,dakota.taylor@example.com,Account Access,Social Media,Pending,35.14,07-02-2023 00:00
T00058,C1706,Alex Lee,alex.lee@example.com,Returns,Chat,Resolved,53.11,28-02-2023 00:00
T00059,C1093,Chris Clark,chris.clark@example.com,Account Access,Social Media,Escalated,22.79,08-12-2023 00:00
T00060,C1662,Jamie Brown,jamie.brown@example.com,Billing,Email,Escalated,61.42,05-05-2023 00:00
T00061,C1272,Riley Garcia,riley.garcia@example.com,Product Inquiry,Social Media,Escalated,15.11,11-11-2023 00:00
T00062,C1369,Casey Brown,casey.brown@example.com,Product Inquiry,Chat,Unresolved,26.19,20-01-2023 00:00
T00063,C1883,Dakota Smith,dakota.smith@example.com,Product Inquiry,Phone,Escalated,47.11,26-10-2023 00:00
T00064,C1024,Chris Taylor,chris.taylor@example.com,Returns,Email,Unresolved,24.15,16-04-2023 00:00
T00065,C1899,Dakota Garcia,dakota.garcia@example.com,Billing,Chat,Escalated,8.09,30-05-2023 00:00
T00066,C1788,Taylor White,taylor.white@example.com,Billing,Phone,Pending,42.59,02-07-2023 00:00
T00067,C1795,Alex Anderson,alex.anderson@example.com,Account Access,Email,Resolved,45.81,17-07-2023 00:00
T00068,C1964,Alex Smith,alex.smith@example.com,Technical,Phone,Pending,68.93,12-06-2023 00:00
T00069,C1500,Dakota Martin,dakota.martin@example.com,Account Access,Chat,Pending,53.74,15-02-2023 00:00
T00070,C1489,Riley Taylor,riley.taylor@example.com,Shipping,Email,Pending,23.94,24-07-2023 00:00
T00071,C1203,Taylor Smith,taylor.smith@example.com,Technical,Social Media,Pending,68.52,22-09-2023 00:00
T00072,C1463,Morgan White,morgan.white@example.com,Account Access,Social Media,Unresolved,15.97,01-12-2023 00:00
T00073,C1990,Morgan Garcia,morgan.garcia@example.com,Shipping,Email,Unresolved,10,04-07-2023 00:00
T00074,C1984,Morgan Lee,morgan.lee@example.com,Returns,Email,Resolved,37.17,14-09-2023 00:00
T00075,C1284,Taylor Anderson,taylor.anderson@example.com,Billing,Chat,Unresolved,4.84,12-09-2023 00:00
T00076,C1386,Alex Johnson,alex.johnson@example.com,Account Access,Phone,Unresolved,44.29,28-05-2023 00:00
T00077,C1996,Jordan Taylor,jordan.taylor@example.com,Product Inquiry,Phone,Escalated,13.94,22-11-2023 00:00
T00078,C1527,Jordan Smith,jordan.smith@example.com,Account Access,Social Media,Pending,32.75,22-07-2023 00:00
T00079,C1830,Casey Clark,casey.clark@example.com,Shipping,Email,Resolved,52.41,17-08-2023 00:00
T00080,C1540,Skyler Lee,skyler.lee@example.com,Product Inquiry,Phone,Escalated,64.56,08-12-2023 00:00
T00081,C1425,Morgan Taylor,morgan.taylor@example.com,Account Access,Email,Escalated,46.9,24-12-2023 00:00
T00082,C1030,Alex Brown,alex.brown@example.com,Shipping,Email,Unresolved,43.63,16-09-2023 00:00
T00083,C1956,Alex Brown,alex.brown@example.com,Shipping,Social Media,Resolved,2.34,04-08-2023 00:00
T00084,C1546,Jamie Taylor,jamie.taylor@example.com,Technical,Social Media,Resolved,17.05,05-09-2023 00:00
T00085,C1046,Taylor White,taylor.white@example.com,Product Inquiry,Email,Resolved,33.29,16-01-2023 00:00
T00086,C1266,Alex Smith,alex.smith@example.com,Billing,Phone,Unresolved,22.52,25-09-2023 00:00
T00087,C1997,Dakota Smith,dakota.smith@example.com,Technical,Phone,Resolved,39.02,23-11-2023 00:00
T00088,C1774,Casey Anderson,casey.anderson@example.com,Billing,Chat,Unresolved,20.41,18-10-2023 00:00
T00089,C1812,Alex Anderson,alex.anderson@example.com,Account Access,Social Media,Escalated,8.37,10-10-2023 00:00
T00090,C1466,Jamie Taylor,jamie.taylor@example.com,Product Inquiry,Social Media,Unresolved,5.95,04-06-2023 00:00
T00091,C1436,Chris White,chris.white@example.com,Returns,Email,Escalated,13.86,19-12-2023 00:00
T00092,C1512,Alex White,alex.white@example.com,Shipping,Email,Escalated,43.15,02-05-2023 00:00
T00093,C1756,Alex Brown,alex.brown@example.com,Billing,Chat,Resolved,34.78,07-07-2023 00:00
T00094,C1125,Dakota Clark,dakota.clark@example.com,Shipping,Chat,Escalated,71.48,05-09-2023 00:00
T00095,C1882,Jordan Garcia,jordan.garcia@example.com,Shipping,Phone,Escalated,56.37,03-04-2023 00:00
T00096,C1918,Taylor Clark,taylor.clark@example.com,Account Access,Social Media,Resolved,54.25,25-12-2023 00:00
T00097,C1174,Alex Lee,alex.lee@example.com,Product Inquiry,Social Media,Unresolved,61.05,21-04-2023 00:00
T00098,C1227,Jamie Lee,jamie.lee@example.com,Product Inquiry,Social Media,Pending,58.52,09-07-2023 00:00
T00099,C1172,Casey White,casey.white@example.com,Billing,Chat,Escalated,30.74,14-09-2023 00:00
T00100,C1708,Jamie Taylor,jamie.taylor@example.com,Product Inquiry,Chat,Unresolved,62.82,11-07-2023 00:00
T00101,C1092,Alex Anderson,alex.anderson@example.com,Product Inquiry,Email,Pending,38.11,31-03-2023 00:00
T00102,C1423,Taylor White,taylor.white@example.com,Product Inquiry,Email,Resolved,12.97,27-08-2023 00:00
T00103,C1221,Jamie Clark,jamie.clark@example.com,Billing,Email,Pending,67.39,25-04-2023 00:00
T00104,C1727,Alex Martin,alex.martin@example.com,Billing,Phone,Pending,33.57,01-02-2023 00:00
T00105,C1616,Taylor White,taylor.white@example.com,Account Access,Phone,Escalated,32.74,20-12-2023 00:00
T00106,C1450,Alex Johnson,alex.johnson@example.com,Product Inquiry,Social Media,Escalated,16.41,05-11-2023 00:00
T00107,C1681,Morgan Smith,morgan.smith@example.com,Shipping,Phone,Resolved,4.19,06-11-2023 00:00
T00108,C1724,Jordan Brown,jordan.brown@example.com,Returns,Social Media,Escalated,2.71,10-02-2023 00:00
T00109,C1204,Jordan Garcia,jordan.garcia@example.com,Shipping,Social Media,Escalated,33.77,13-04-2023 00:00
T00110,C1580,Casey Clark,casey.clark@example.com,Billing,Chat,Escalated,56.6,30-07-2023 00:00
T00111,C1279,Dakota Brown,dakota.brown@example.com,Billing,Phone,Escalated,34.45,21-03-2023 00:00
T00112,C1069,Morgan Anderson,morgan.anderson@example.com,Returns,Email,Escalated,70.23,28-06-2023 00:00
T00113,C1905,Chris Brown,chris.brown@example.com,Returns,Email,Escalated,34.96,09-05-2023 00:00
T00114,C1823,Alex White,alex.white@example.com,Product Inquiry,Chat,Unresolved,15.44,27-08-2023 00:00
T00115,C1442,Dakota Lee,dakota.lee@example.com,Product Inquiry,Email,Escalated,4.08,03-12-2023 00:00
T00116,C1644,Skyler Garcia,skyler.garcia@example.com,Account Access,Email,Unresolved,56.33,04-07-2023 00:00
T00117,C1540,Jordan White,jordan.white@example.com,Shipping,Chat,Escalated,6.49,01-02-2023 00:00
T00118,C1510,Jamie Taylor,jamie.taylor@example.com,Account Access,Email,Resolved,63.16,23-05-2023 00:00
T00119,C1289,Casey Martin,casey.martin@example.com,Shipping,Phone,Unresolved,53.49,02-12-2023 00:00
T00120,C1418,Skyler White,skyler.white@example.com,Shipping,Email,Pending,69.92,11-02-2023 00:00
T00121,C1575,Alex Brown,alex.brown@example.com,Returns,Social Media,Unresolved,35.81,24-02-2023 00:00
T00122,C1071,Riley Anderson,riley.anderson@example.com,Billing,Email,Resolved,48.15,01-06-2023 00:00
T00123,C1210,Chris Lee,chris.lee@example.com,Account Access,Chat,Escalated,29.41,17-09-2023 00:00
T00124,C1114,Casey Johnson,casey.johnson@example.com,Account Access,Social Media,Escalated,32.5,20-07-2023 00:00
T00125,C1334,Casey Anderson,casey.anderson@example.com,Returns,Email,Escalated,51.84,18-02-2023 00:00
T00126,C1756,Morgan Lee,morgan.lee@example.com,Account Access,Chat,Escalated,18.37,18-07-2023 00:00
T00127,C1543,Casey Clark,casey.clark@example.com,Account Access,Email,Pending,0.96,02-11-2023 00:00
T00128,C1593,Jordan Brown,jordan.brown@example.com,Product Inquiry,Email,Escalated,48.02,29-03-2023 00:00
T00129,C1465,Riley Anderson,riley.anderson@example.com,Shipping,Email,Resolved,69.13,20-06-2023 00:00
T00130,C1714,Jordan Martin,jordan.martin@example.com,Account Access,Chat,Pending,25.47,31-03-2023 00:00
T00131,C1368,Dakota Clark,dakota.clark@example.com,Account Access,Chat,Resolved,31.03,25-05-2023 00:00
T00132,C1208,Riley Martin,riley.martin@example.com,Product Inquiry,Social Media,Escalated,61.07,26-02-2023 00:00
T00133,C1124,Casey White,casey.white@example.com,Billing,Email,Pending,46.4,15-07-2023 00:00
T00134,C1736,Dakota Garcia,dakota.garcia@example.com,Product Inquiry,Email,Pending,62.89,29-07-2023 00:00
T00135,C1437,Taylor Taylor,taylor.taylor@example.com,Product Inquiry,Email,Unresolved,1.87,24-11-2023 00:00
T00136,C1620,Dakota Clark,dakota.clark@example.com,Billing,Chat,Resolved,21.64,23-08-2023 00:00
T00137,C1350,Morgan Smith,morgan.smith@example.com,Billing,Social Media,Pending,12.53,29-11-2023 00:00
T00138,C1825,Riley Anderson,riley.anderson@example.com,Product Inquiry,Chat,Escalated,6.76,08-12-2023 00:00
T00139,C1034,Dakota Smith,dakota.smith@example.com,Technical,Social Media,Resolved,71.4,03-03-2023 00:00
T00140,C1233,Dakota Johnson,dakota.johnson@example.com,Product Inquiry,Phone,Resolved,31.63,10-12-2023 00:00
T00141,C1458,Jordan Taylor,jordan.taylor@example.com,Shipping,Email,Pending,17.48,26-01-2023 00:00
T00142,C1048,Riley White,riley.white@example.com,Returns,Chat,Pending,60.83,14-10-2023 00:00
T00143,C1496,Jordan Johnson,jordan.johnson@example.com,Billing,Chat,Unresolved,10.58,31-07-2023 00:00
T00144,C1741,Chris Anderson,chris.anderson@example.com,Account Access,Chat,Escalated,55.62,20-04-2023 00:00
T00145,C1472,Skyler Garcia,skyler.garcia@example.com,Returns,Email,Escalated,69.73,05-06-2023 00:00
T00146,C1676,Morgan Lee,morgan.lee@example.com,Technical,Social Media,Escalated,69.63,17-04-2023 00:00
T00147,C1640,Casey Johnson,casey.johnson@example.com,Shipping,Phone,Escalated,19.3,12-07-2023 00:00
T00148,C1625,Morgan Johnson,morgan.johnson@example.com,Returns,Social Media,Unresolved,0.78,27-04-2023 00:00
T00149,C1778,Jordan Brown,jordan.brown@example.com,Technical,Social Media,Unresolved,36.55,14-03-2023 00:00
T00150,C1257,Taylor Martin,taylor.martin@example.com,Product Inquiry,Social Media,Unresolved,12.27,07-07-2023 00:00
T00151,C1033,Casey White,casey.white@example.com,Account Access,Social Media,Escalated,19.65,24-04-2023 00:00
T00152,C1844,Chris Garcia,chris.garcia@example.com,Shipping,Email,Resolved,21.52,10-03-2023 00:00
T00153,C1461,Skyler Anderson,skyler.anderson@example.com,Technical,Email,Unresolved,24.92,20-04-2023 00:00
T00154,C1091,Alex Taylor,alex.taylor@example.com,Returns,Email,Pending,54.46,06-10-2023 00:00
T00155,C1202,Chris Clark,chris.clark@example.com,Account Access,Email,Pending,2.86,09-08-2023 00:00
T00156,C1952,Chris Lee,chris.lee@example.com,Account Access,Chat,Unresolved,12.15,16-09-2023 00:00
T00157,C1591,Jamie Smith,jamie.smith@example.com,Product Inquiry,Social Media,Escalated,64.09,01-12-2023 00:00
T00158,C1027,Chris Lee,chris.lee@example.com,Returns,Phone,Resolved,15.87,04-10-2023 00:00
T00159,C1301,Jordan Lee,jordan.lee@example.com,Shipping,Chat,Unresolved,18.79,30-10-2023 00:00
T00160,C1151,Morgan White,morgan.white@example.com,Account Access,Chat,Escalated,61.54,07-02-2023 00:00
T00161,C1318,Riley Anderson,riley.anderson@example.com,Product Inquiry,Email,Resolved,50.23,18-02-2023 00:00
T00162,C1221,Jamie Smith,jamie.smith@example.com,Returns,Phone,Escalated,66.77,23-07-2023 00:00
T00163,C1666,Skyler Martin,skyler.martin@example.com,Billing,Email,Unresolved,31.1,02-09-2023 00:00
T00164,C1021,Chris Johnson,chris.johnson@example.com,Billing,Email,Resolved,12.53,19-01-2023 00:00
T00165,C1215,Alex Taylor,alex.taylor@example.com,Account Access,Email,Resolved,48.29,15-10-2023 00:00
T00166,C1966,Dakota Lee,dakota.lee@example.com,Billing,Chat,Resolved,13.76,24-07-2023 00:00
T00167,C1755,Casey Martin,casey.martin@example.com,Returns,Phone,Pending,55.1,19-01-2023 00:00
T00168,C1917,Jordan Brown,jordan.brown@example.com,Returns,Email,Resolved,56.15,08-10-2023 00:00
T00169,C1288,Casey Anderson,casey.anderson@example.com,Billing,Chat,Unresolved,54.43,12-06-2023 00:00
T00170,C1242,Jamie White,jamie.white@example.com,Returns,Chat,Escalated,68.49,03-05-2023 00:00
T00171,C1979,Dakota Taylor,dakota.taylor@example.com,Account Access,Chat,Escalated,70.21,28-01-2023 00:00
T00172,C1900,Skyler Brown,skyler.brown@example.com,Technical,Phone,Resolved,60.85,07-11-2023 00:00
T00173,C1521,Dakota Smith,dakota.smith@example.com,Shipping,Phone,Unresolved,51.87,27-04-2023 00:00
T00174,C1401,Jordan Taylor,jordan.taylor@example.com,Technical,Phone,Escalated,20.48,19-03-2023 00:00
T00175,C1628,Chris Taylor,chris.taylor@example.com,Returns,Phone,Resolved,49.5,30-11-2023 00:00
T00176,C1177,Riley Johnson,riley.johnson@example.com,Product Inquiry,Phone,Escalated,66.41,22-05-2023 00:00
T00177,C1787,Casey Garcia,casey.garcia@example.com,Account Access,Email,Escalated,57.45,23-07-2023 00:00
T00178,C1196,Dakota Anderson,dakota.anderson@example.com,Returns,Social Media,Unresolved,37.34,21-07-2023 00:00
T00179,C1759,Morgan Garcia,morgan.garcia@example.com,Billing,Chat,Escalated,45.53,12-04-2023 00:00
T00180,C1153,Skyler Anderson,skyler.anderson@example.com,Billing,Email,Escalated,31.2,10-10-2023 00:00
T00181,C1031,Jordan White,jordan.white@example.com,Account Access,Phone,Unresolved,1.42,03-03-2023 00:00
T00182,C1068,Dakota White,dakota.white@example.com,Returns,Phone,Unresolved,9.01,03-07-2023 00:00
T00183,C1506,Morgan Garcia,morgan.garcia@example.com,Shipping,Social Media,Pending,20.63,05-06-2023 00:00
T00184,C1204,Morgan Lee,morgan.lee@example.com,Technical,Social Media,Unresolved,4.86,18-11-2023 00:00
T00185,C1989,Jamie Martin,jamie.martin@example.com,Shipping,Social Media,Pending,52.95,11-05-2023 00:00
T00186,C1917,Morgan Taylor,morgan.taylor@example.com,Technical,Email,Pending,49.54,16-12-2023 00:00
T00187,C1175,Taylor Smith,taylor.smith@example.com,Returns,Social Media,Unresolved,49.41,23-08-2023 00:00
T00188,C1643,Jamie Lee,jamie.lee@example.com,Billing,Chat,Resolved,12.24,10-09-2023 00:00
T00189,C1562,Dakota Clark,dakota.clark@example.com,Product Inquiry,Phone,Unresolved,14.82,26-02-2023 00:00
T00190,C1371,Dakota Johnson,dakota.johnson@example.com,Returns,Chat,Escalated,26.98,06-05-2023 00:00
T00191,C1661,Skyler Lee,skyler.lee@example.com,Account Access,Email,Resolved,26.9,10-05-2023 00:00
T00192,C1853,Riley Smith,riley.smith@example.com,Product Inquiry,Social Media,Resolved,70.87,09-07-2023 00:00
T00193,C1318,Riley Johnson,riley.johnson@example.com,Technical,Chat,Escalated,4.67,02-09-2023 00:00
T00194,C1813,Morgan Smith,morgan.smith@example.com,Returns,Social Media,Unresolved,43.7,20-07-2023 00:00
T00195,C1660,Casey Martin,casey.martin@example.com,Account Access,Chat,Unresolved,45.84,14-06-2023 00:00
T00196,C1207,Skyler Anderson,skyler.anderson@example.com,Technical,Social Media,Pending,55.11,22-04-2023 00:00
T00197,C1772,Riley Anderson,riley.anderson@example.com,Account Access,Email,Unresolved,71.84,06-06-2023 00:00
T00198,C1801,Jamie Brown,jamie.brown@example.com,Returns,Email,Resolved,18.42,19-04-2023 00:00
T00199,C1768,Jamie Taylor,jamie.taylor@example.com,Product Inquiry,Social Media,Pending,3,25-10-2023 00:00
T00200,C1582,Chris Smith,chris.smith@example.com,Shipping,Email,Escalated,34.41,12-12-2023 00:00
T00201,C1818,Riley Taylor,riley.taylor@example.com,Returns,Chat,Resolved,50.77,08-06-2023 00:00
T00202,C1530,Morgan White,morgan.white@example.com,Billing,Phone,Pending,28.86,28-09-2023 00:00
T00203,C1585,Jamie Smith,jamie.smith@example.com,Account Access,Email,Escalated,7.26,21-12-2023 00:00
T00204,C1215,Morgan Anderson,morgan.anderson@example.com,Product Inquiry,Phone,Escalated,41.19,14-10-2023 00:00
T00205,C1901,Taylor Smith,taylor.smith@example.com,Account Access,Chat,Unresolved,22.14,26-05-2023 00:00
T00206,C1064,Dakota Clark,dakota.clark@example.com,Account Access,Email,Unresolved,36.72,24-07-2023 00:00
T00207,C1865,Morgan Anderson,morgan.anderson@example.com,Shipping,Social Media,Pending,61.2,12-04-2023 00:00
T00208,C1454,Alex Brown,alex.brown@example.com,Product Inquiry,Social Media,Pending,36.28,25-07-2023 00:00
T00209,C1576,Casey Johnson,casey.johnson@example.com,Product Inquiry,Email,Escalated,41.56,27-07-2023 00:00
T00210,C1512,Dakota Garcia,dakota.garcia@example.com,Product Inquiry,Social Media,Unresolved,11.83,02-06-2023 00:00
T00211,C1553,Jordan Garcia,jordan.garcia@example.com,Billing,Phone,Escalated,23.61,20-06-2023 00:00
T00212,C1490,Chris Clark,chris.clark@example.com,Billing,Social Media,Pending,20.14,22-12-2023 00:00
T00213,C1004,Casey Taylor,casey.taylor@example.com,Technical,Email,Pending,34.12,21-06-2023 00:00
T00214,C1651,Dakota Taylor,dakota.taylor@example.com,Billing,Phone,Escalated,47.55,12-07-2023 00:00
T00215,C1273,Jamie Anderson,jamie.anderson@example.com,Shipping,Phone,Unresolved,54.71,09-08-2023 00:00
T00216,C1586,Casey Brown,casey.brown@example.com,Product Inquiry,Phone,Unresolved,55.14,19-07-2023 00:00
T00217,C1592,Morgan Martin,morgan.martin@example.com,Account Access,Social Media,Unresolved,45.63,21-05-2023 00:00
T00218,C1546,Riley Lee,riley.lee@example.com,Technical,Phone,Resolved,1.34,09-08-2023 00:00
T00219,C1552,Alex White,alex.white@example.com,Product Inquiry,Social Media,Pending,11.52,06-12-2023 00:00
T00220,C1058,Taylor Taylor,taylor.taylor@example.com,Account Access,Chat,Unresolved,47.18,16-04-2023 00:00
T00221,C1872,Skyler Martin,skyler.martin@example.com,Shipping,Chat,Escalated,37.55,05-11-2023 00:00
T00222,C1075,Jamie Martin,jamie.martin@example.com,Shipping,Social Media,Resolved,13.79,29-08-2023 00:00
T00223,C1351,Skyler Smith,skyler.smith@example.com,Billing,Chat,Unresolved,53.28,07-04-2023 00:00
T00224,C1531,Jamie Anderson,jamie.anderson@example.com,Technical,Chat,Resolved,29.39,21-07-2023 00:00
T00225,C1262,Taylor Anderson,taylor.anderson@example.com,Shipping,Chat,Resolved,55.83,10-12-2023 00:00
T00226,C1493,Skyler Lee,skyler.lee@example.com,Technical,Phone,Pending,8.96,05-04-2023 00:00
T00227,C1208,Jordan Anderson,jordan.anderson@example.com,Account Access,Chat,Unresolved,29.84,26-07-2023 00:00
T00228,C1330,Chris Martin,chris.martin@example.com,Product Inquiry,Social Media,Pending,36.21,04-09-2023 00:00
T00229,C1634,Alex Taylor,alex.taylor@example.com,Product Inquiry,Phone,Pending,36.74,18-12-2023 00:00
T00230,C1460,Morgan White,morgan.white@example.com,Shipping,Chat,Resolved,24.09,15-05-2023 00:00
T00231,C1414,Jamie Clark,jamie.clark@example.com,Product Inquiry,Chat,Pending,12.11,03-03-2023 00:00
T00232,C1149,Skyler Anderson,skyler.anderson@example.com,Returns,Phone,Unresolved,27,06-06-2023 00:00
T00233,C1703,Jamie Martin,jamie.martin@example.com,Product Inquiry,Phone,Unresolved,8.85,25-12-2023 00:00
T00234,C1042,Dakota Garcia,dakota.garcia@example.com,Shipping,Social Media,Unresolved,23.5,08-01-2023 00:00
T00235,C1298,Dakota Clark,dakota.clark@example.com,Billing,Chat,Pending,69.66,20-05-2023 00:00
T00236,C1613,Riley Clark,riley.clark@example.com,Billing,Phone,Unresolved,0.76,04-03-2023 00:00
T00237,C1615,Dakota Taylor,dakota.taylor@example.com,Account Access,Social Media,Unresolved,67.45,28-05-2023 00:00
T00238,C1998,Skyler Brown,skyler.brown@example.com,Account Access,Phone,Unresolved,23.03,13-09-2023 00:00
T00239,C1157,Jamie Clark,jamie.clark@example.com,Technical,Phone,Escalated,52.5,18-04-2023 00:00
T00240,C1283,Riley Martin,riley.martin@example.com,Product Inquiry,Social Media,Unresolved,37.79,16-02-2023 00:00
T00241,C1086,Jordan Garcia,jordan.garcia@example.com,Returns,Chat,Escalated,59.66,14-12-2023 00:00
T00242,C1600,Taylor Anderson,taylor.anderson@example.com,Shipping,Email,Unresolved,15.14,11-04-2023 00:00
T00243,C1278,Skyler Brown,skyler.brown@example.com,Account Access,Phone,Unresolved,27.9,27-07-2023 00:00
T00244,C1398,Jordan White,jordan.white@example.com,Product Inquiry,Chat,Unresolved,38.43,18-11-2023 00:00
T00245,C1241,Jordan Lee,jordan.lee@example.com,Product Inquiry,Email,Escalated,52.36,30-12-2023 00:00
T00246,C1380,Jamie White,jamie.white@example.com,Returns,Email,Unresolved,50.44,10-08-2023 00:00
T00247,C1373,Skyler Anderson,skyler.anderson@example.com,Account Access,Email,Unresolved,52.73,30-05-2023 00:00
T00248,C1833,Morgan Johnson,morgan.johnson@example.com,Account Access,Phone,Resolved,46.93,16-06-2023 00:00
T00249,C1251,Chris Garcia,chris.garcia@example.com,Returns,Phone,Resolved,26.27,24-06-2023 00:00
